episode,phase,total_steps,outcome,length,discounted_return
724,il,13591,collision,23,-0.1403
725,il,13602,collision,11,-0.2043
726,il,13612,success,10,0.7889
727,il,13637,too_close,25,0.5314
728,il,13647,success,10,0.7889
729,il,13672,too_close,25,0.5232
730,il,13693,too_close,21,0.5839
731,il,13699,success,6,0.8766
732,il,13709,collision,10,-0.2024
733,il,13736,success,27,0.5042
734,il,13754,success,18,0.639
735,il,13796,collision,42,-0.2147
736,il,13811,success,15,0.6916
737,il,13820,collision,9,-0.2156
738,il,13852,success,32,0.442
739,il,13855,success,3,0.9487
740,il,13863,too_close,8,0.8316
741,il,13886,collision,23,-0.14
742,il,13893,too_close,7,0.8472
743,il,13898,collision,5,-0.2401
744,il,13995,too_close,97,0.0798
745,il,14010,success,15,0.6916
746,il,14041,too_close,31,0.4297
747,il,14057,collision,16,-0.1826
748,il,14071,collision,14,-0.1775
749,il,14084,success,13,0.729
750,il,14097,collision,13,-0.1827
751,il,14104,success,7,0.8538
752,il,14113,collision,9,-0.2108
753,il,14128,collision,15,-0.1841
754,il,14144,success,16,0.6736
755,il,14165,collision,21,-0.1542
756,il,14172,collision,7,-0.2166
757,il,14208,success,36,0.3978
758,il,14223,success,15,0.6916
759,il,14235,success,12,0.7485
760,il,14237,collision,2,-0.2435
761,il,14255,success,18,0.639
762,il,14274,collision,19,-0.1653
763,il,14289,success,15,0.6916
764,il,14319,success,30,0.4659
765,il,14351,success,32,0.442
766,il,14355,success,4,0.924
767,il,14373,success,18,0.639
768,il,14381,collision,8,-0.2185
769,il,14400,success,19,0.6224
770,il,14412,collision,12,-0.1997
771,il,14430,success,18,0.639
772,il,14441,success,11,0.7684
773,il,14449,success,8,0.8281
774,il,14456,success,7,0.8538
775,il,14480,too_close,24,0.5228
776,il,14497,too_close,17,0.6452
777,il,14507,success,10,0.7889
778,il,14535,too_close,28,0.4911
779,il,14554,collision,19,-0.1619
780,il,14561,success,7,0.8538
781,il,14570,collision,9,-0.2025
782,il,14582,collision,12,-0.2078
783,il,14606,too_close,24,0.5441
784,il,14629,success,23,0.5602
785,il,14644,too_close,15,0.6684
786,il,14658,collision,14,-0.1957
787,il,14676,too_close,18,0.6318
788,il,14700,collision,24,-0.1364
789,il,14718,success,18,0.639
790,il,14744,success,26,0.5176
791,il,14747,collision,3,-0.2517
792,il,14758,success,11,0.7684
793,il,14765,success,7,0.8538
794,il,14783,collision,18,-0.1639
795,il,14798,collision,15,-0.1729
796,il,14827,too_close,29,0.4496
797,il,14839,collision,12,-0.2104
798,il,14848,collision,9,-0.2188
799,il,14864,collision,16,-0.1705
800,il,14936,too_close,72,0.1541
801,il,14949,collision,13,-0.1869
802,il,14987,too_close,38,0.3773
803,il,15005,success,18,0.639
804,il,15026,too_close,21,0.5622
805,il,15060,success,34,0.4193
806,il,15070,collision,10,-0.2108
807,il,15101,collision,31,-0.1522
808,il,15137,too_close,36,0.3978
809,il,15151,collision,14,-0.1935
810,il,15167,collision,16,-0.1684
811,il,15175,too_close,8,0.8316
812,il,15185,success,10,0.7889
813,il,15195,success,10,0.7889
814,il,15208,collision,13,-0.1874
815,il,15218,collision,10,-0.2164
816,il,15226,success,8,0.8316
817,il,15237,too_close,11,0.7684
